error_class,line_count,ground_truth,prediction,substitutions,deleted,inserted,error_positions,confidence,image_path
substitution,2,70EA00557,70S000557,E>S A>0,,,2 3,0.8709,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay390_jpg.rf.e940db91abb25c7d6f084cdb156f2c25.jpg
substitution,2,79Z118589,79T118589,Z>T,,,2,0.9961,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay412_jpg.rf.5bb36621f0bf15a48dfbbc73a79fc8ce.jpg
substitution,2,59E165903,59F165903,E>F,,,2,0.9851,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay518_jpg.rf.623a9ea2096673c0033a81e7a918373e.jpg
substitution,2,59U165072,59L165072,U>L,,,2,0.9408,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay562_jpg.rf.b6d64adbd6786d91faa8305ae4efb48a.jpg
mixed,2,59U170392,5911170392,U>1,,1,2,0.9553,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay66_jpg.rf.a0d7ad6d4a49894e916e570cb646f9c6.jpg
substitution,2,79Z104811,79T104811,Z>T,,,2,0.9876,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay674_jpg.rf.004779f67076e7b76af52ce02f1cd1be.jpg
mixed,2,59M108275,59L08275,1>L,M,,2 3,0.9102,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay675_jpg.rf.08641ef5429a309216ae1415f2e893c4.jpg
substitution,2,59X267178,59Y767178,X>Y 2>7,,,2 3,0.8542,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay809_jpg.rf.72739a44a7a798c5756200ae88adf1d7.jpg
substitution,2,60B149139,60R149139,B>R,,,2,0.9582,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay971_jpg.rf.e8ccd4a70ef8a06d3e6aeee2df78ecd7.jpg
substitution,1,50LD04411,50L004411,D>0,,,3,0.9305,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3CarLongPlate331_jpg.rf.c2ea3a82210c74405bdb97df1f15a68f.jpg
substitution,1,93LD00103,93L000103,D>0,,,3,0.9642,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3CarLongPlate393_jpg.rf.32b8500e533ec9d44f4dbcac0b0d0291.jpg
mixed,1,51G47281,15LG47281,1>L,,1,1,0.9679,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3CarLongPlate604_jpg.rf.09bd4ff8079d66258e1dad9b4808fa9b.jpg
substitution,1,30V3993,20V3993,3>2,,,0,0.8780,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3CarLongPlate670_jpg.rf.1a5912db63a8da83e438afbf5071345b.jpg
mixed,1,51G51936,IG51936,1>I,5,,0 1,0.9007,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3CarLongPlate747_jpg.rf.a487b45d456d2f945dcbaaa486caf910.jpg
extra_chars,1,51F1555,51F15585,,,8,,0.9819,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3CarLongPlate874_jpg.rf.df0c498e94052f4d4f44ade5e658a471.jpg
substitution,2,51H49707,51HL9707,4>L,,,3,0.8378,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1028_jpg.rf.dae34ae53367a0eed081659d61854139.jpg
substitution,2,59E162847,59F162847,E>F,,,2,0.9746,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1079_jpg.rf.a7d61c2dabc3c5c44dff676da6ce6469.jpg
substitution,2,22H51198,27H51198,2>7,,,1,0.9683,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1106_jpg.rf.e49246649ea8d511d8822cd2d5309910.jpg
mixed,2,60U23465,60L123465,U>1,,L,2,0.9968,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay111_jpg.rf.973684df72ce91684bcf9b00520ad74a.jpg
substitution,2,79Z116792,79T116792,Z>T,,,2,0.9860,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1139_jpg.rf.8ea5db77bd73531f2eda558d4f5e5cab.jpg
substitution,2,59E153139,59F153139,E>F,,,2,0.9955,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1180_jpg.rf.ef5aa129da92c68ad590201819eea42a.jpg
substitution,2,60B422155,50B422155,6>5,,,0,0.8984,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1183_jpg.rf.f2b05db035a1644fe0fe5114c0466d60.jpg
substitution,2,59M197489,59A197489,M>A,,,2,0.9416,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1227_jpg.rf.ef2f38a301aeee8e72932c6b76cc5342.jpg
substitution,2,53V48609,53VL8609,4>L,,,3,0.9539,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1264_jpg.rf.3b9e0ae2094df16bf62745d0a8e68386.jpg
substitution,2,59E170762,59F170762,E>F,,,2,0.9374,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1265_jpg.rf.bae165eb5d4b6c1162ffc038f6136416.jpg
mixed,2,48F1856,18F31856,4>1,,3,0,0.8741,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay128_jpg.rf.a36307306b2c625dfb53d13167d93a06.jpg
substitution,2,47L109977,47L109917,7>1,,,7,0.9080,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1310_jpg.rf.e389b5f7d1714f6f646d9d00a63fa361.jpg
substitution,2,59M148700,59M743700,1>7 8>3,,,3 5,0.8893,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1327_jpg.rf.739d8768eb936f7adade8b537fa42083.jpg
mixed,2,59T127957,59Z7957,2>Z,T1,,2 3 4,0.9894,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1339_jpg.rf.4a0361e91cdff3173a6ff5eca87ff1e5.jpg
substitution,2,59X149553,59X149573,5>7,,,7,0.9960,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1349_jpg.rf.e60b7777961a261eb61a055427c66ba5.jpg
substitution,2,59X291011,59Y291011,X>Y,,,2,0.9517,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1376_jpg.rf.f6dd980c53b69027c4f0d7c735b6f14a.jpg
substitution,2,47M76992,47A76992,M>A,,,2,0.8408,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1484_jpg.rf.e23a0c91805723aa829d6c76a880a6c5.jpg
mixed,2,59M187668,59L87668,1>L,M,,2 3,0.9378,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1525_jpg.rf.7a221e416837ff11c7c94cc17a061ee4.jpg
substitution,2,68K49407,60L49407,8>0 K>L,,,1 2,0.9156,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1570_jpg.rf.47d89a5e5303d9d673e3fd4e802b7c28.jpg
substitution,2,59M197372,59N197372,M>N,,,2,0.8959,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1597_jpg.rf.5388abcfb4ed8d9512fb7b002471a753.jpg
substitution,2,77F128472,77S128472,F>S,,,2,0.9940,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1604_jpg.rf.17aaf67fc222bbab77c39dc594f4c7df.jpg
missing_chars,2,59H141296,59H41296,,1,,3,0.9166,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1607_jpg.rf.40f1abcc32f61610e369457130ac2715.jpg
mixed,2,59T186782,59T18082,7>0,6,,5 6,0.8939,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1662_jpg.rf.e184a55b0305b6a7f6be436912c43e59.jpg
substitution,2,54P46793,51P16793,4>1 4>1,,,1 3,0.9497,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1669_jpg.rf.54da1942e7003210f43aad2f15d94de6.jpg
missing_chars,2,59C131162,59C13162,,1,,5,0.8718,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1673_jpg.rf.3982416e102e2283b765f9c42af7166d.jpg
substitution,2,54Z31084,54T31084,Z>T,,,2,0.9306,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1676_jpg.rf.7334918941545816c5aec0d14c9cf360.jpg
substitution,2,59Z202768,59T202768,Z>T,,,2,0.9207,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1704_jpg.rf.b10feee89874848466fcc6f5abd03298.jpg
missing_chars,2,55P85535,55P8535,,5,,4,0.9145,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1733_jpg.rf.1dfb62af0afcdf9f5ddd748e9537a846.jpg
mixed,2,52L26661,52Z6661,2>Z,L,,2 3,0.9671,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1749_jpg.rf.7f597b58b77ba8ba3dea1cc43b41f0cb.jpg
substitution,2,60B813705,60R813705,B>R,,,2,0.9897,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1771_jpg.rf.137ef08ddae1f6f1f80435d6e1b18b81.jpg
mixed,2,47D117237,70L17237,D>0 1>L,4,,0 2 3,0.9033,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1805_jpg.rf.56f088d4cf2b7448ccbd6c0aba90c696.jpg
substitution,2,47K108279,17K108279,4>1,,,0,0.8997,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1815_jpg.rf.3cd7605d02c21589b3d24053a4b7e20e.jpg
substitution,2,52Z79752,57T79752,2>7 Z>T,,,1 2,0.9381,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1842_jpg.rf.af487c88816b80279144a4875ac707fe.jpg
substitution,2,54V14819,54A14819,V>A,,,2,0.9162,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1928_jpg.rf.d2a31d1ddf89ad3ec662e182787d4b68.jpg
substitution,2,59V200884,59V2C0884,0>C,,,4,0.9246,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay192_jpg.rf.a3e7ab3339b6fb818d9b5cf34fa9a1ff.jpg
substitution,2,59C105899,59C705899,1>7,,,3,0.9993,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1934_jpg.rf.452fbbb29b31a3d80be8b301a2a8dac1.jpg
substitution,2,29C120902,79C120902,2>7,,,0,0.9459,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1956_jpg.rf.bc8c97efb4c6519310730b8f82bc3bc7.jpg
substitution,2,59L223714,59L223711,4>1,,,8,0.9554,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1990_jpg.rf.027c5e1c883011da1c3c2577629ff9e1.jpg
substitution,2,83B66954,83966954,B>9,,,2,0.8620,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2132_jpg.rf.111309f8e57f3ed08fabf9084921da54.jpg
substitution,2,59X278848,78B485912,5>7 9>8 X>B 2>4 7>8 8>5 8>9 4>1 8>2,,,0 1 2 3 4 5 6 7 8,0.9946,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2154_jpg.rf.d9d6a4c67f310ca814a21270c8374b1c.jpg
substitution,2,59U157674,54L157674,9>4 U>L,,,1 2,0.8907,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2242_jpg.rf.679f1ba298904c7918f3fef56c061756.jpg
substitution,2,59F164516,50E164516,9>0 F>E,,,1 2,0.8782,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2254_jpg.rf.f37ff6456097c1c4188b122f5ae59221.jpg
mixed,2,67E105420,05A20001,6>0 7>5 E>A 1>2 4>0 2>0 0>1,5,,0 1 2 3 5 6 7 8,0.7457,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2286_jpg.rf.97178f85203f57e9be439f143c2f5bff.jpg
substitution,2,71B289897,71B289937,8>9 9>3,,,6 7,0.9471,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2314_jpg.rf.dd4bd542e77ef924e9931b5e26bd50fe.jpg
substitution,2,59T166153,59T766153,1>7,,,3,0.9997,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2328_jpg.rf.a11c0f2a78cbcaeb7c9e9f571b16d092.jpg
substitution,2,59E170535,59F170535,E>F,,,2,0.9751,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2394_jpg.rf.0a80ae4dbda85ef3c8d3332251bef134.jpg
substitution,2,54S16312,51S16312,4>1,,,1,0.9117,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay2462_jpg.rf.0f47b12231e42d07d43968757dcb497a.jpg
missing_chars,2,54V14819,4819,,54V1,,0 1 2 3,0.9986,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay268_jpg.rf.b6ddeac5d4f857e522a39ef1930fc777.jpg
substitution,2,86B608797,60B608797,8>6 6>0,,,0 1,0.8704,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay292_jpg.rf.179816c872535c6381509876a6eb0d7d.jpg
substitution,2,59E113417,59F113417,E>F,,,2,0.9587,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay31_jpg.rf.7bd1105f06c46d420a1276a4d7c85126.jpg
substitution,2,59H272061,59N272061,H>N,,,2,0.9573,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay348_jpg.rf.1309a35eef3a0a114b258bd58c223183.jpg
substitution,2,60B628032,F0B628032,6>F,,,0,0.8452,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay351_jpg.rf.c36356f3536d53b3b746f1313b5913d8.jpg
substitution,2,78H117550,70H117550,8>0,,,1,0.9996,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay439_jpg.rf.22853f6ac3d14c68cbb788196ae2f07f.jpg
mixed,2,59U177792,5011177792,9>1 U>1,,0,1 2,0.9860,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay483_jpg.rf.77a4657168f90319d92e4a517b9a2b8d.jpg
substitution,2,54X41983,54XL1983,4>L,,,3,0.9232,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay545_jpg.rf.9aa99794b14429499e63bfb59ff6703f.jpg
substitution,2,59T102309,59T132309,0>3,,,4,0.9865,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay558_jpg.rf.bb50d2cd4d8d8b8d474922b26b260d3b.jpg
substitution,2,51Z30606,51T30606,Z>T,,,2,0.9800,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay591_jpg.rf.0f6b4049c9ea9ba9924c5cde6e9d92f3.jpg
substitution,2,59C161891,59D161891,C>D,,,2,0.9643,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay604_jpg.rf.f00cca07d6c1a72b2fec68a9ece2ddc9.jpg
substitution,2,59F109596,59E109596,F>E,,,2,0.9319,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay636_jpg.rf.195be865f817c86a85ca6d43288780e3.jpg
substitution,2,64D121888,64NO21888,D>N 1>O,,,2 3,0.8383,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay646_jpg.rf.cac29cb1a0370b896df447fd5e3bc5e6.jpg
substitution,2,84K34900,81K34900,4>1,,,1,0.9383,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay65_jpg.rf.2dab875d6a65e7109476723b7fdc3654.jpg
substitution,2,67M23789,67H23789,M>H,,,2,0.9625,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay708_jpg.rf.8044c6405099cbb630407261f363ded9.jpg
missing_chars,2,59F132246,32246,,59F1,,0 1 2 3,0.9955,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay814_jpg.rf.eacdd1ed826d38c5bf3f0cd53f8727ec.jpg
mixed,2,54S25505,51S2505,4>1,5,,1 4,0.8993,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay929_jpg.rf.ce2062258c1163cd5a3df5887e00abcd.jpg
substitution,2,59Z126553,59T126553,Z>T,,,2,0.9511,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay942_jpg.rf.3cc3b1ea29184d252d070bdb006ab7ac.jpg
substitution,2,54F45279,54FL5279,4>L,,,3,0.9282,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay986_jpg.rf.a3eb1f8b533954627463efb124b11f57.jpg
extra_chars,2,59C15610,59C150610,,,0,,0.9460,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay98_jpg.rf.5058fb542a6062a821afaa9aff8b137e.jpg
substitution,2,52Z67766,52T67766,Z>T,,,2,0.8220,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay995_jpg.rf.d9ffe6971f986e24b9c7d3ff0235200f.jpg
substitution,2,59F175758,59S175758,F>S,,,2,0.9676,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4CarLongPlate912_jpg.rf.f5245392c00b9bf0600271e295f93136.jpg
substitution,2,80B608797,80G608797,B>G,,,2,0.7573,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay1955_jpg.rf.8aab401c85f2bf828fc97e641b5371de.jpg
substitution,2,59E164141,59F164141,E>F,,,2,0.9734,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay1958_jpg.rf.c473a47b87c8921e8f19d188a86d2f9f.jpg
mixed,2,59X203954,59Y20351,X>Y 4>1,9,,2 6 8,0.8008,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay1961_jpg.rf.266e4c7b362e164b5a244ba39e79ed9c.jpg
mixed,2,59H170791,59L70791,1>L,H,,2 3,0.9592,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay1967_jpg.rf.a3cd5848aeff4f3206ffc30b6c3eadec.jpg
substitution,2,62L122766,67L122767,2>7 6>7,,,1 8,0.8627,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay1972_jpg.rf.e4d67c2a072c27d546bbd4f43c803d22.jpg
substitution,2,59P231316,50P231316,9>0,,,1,0.9541,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay1991_jpg.rf.1801aba23151718995f6d4bf23aca692.jpg
substitution,2,59F147404,50F147404,9>0,,,1,0.9119,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2005_jpg.rf.2bb749fb49b869e2c409fe0e8cc489f9.jpg
extra_chars,2,54S1459,54S14959,,,9,,0.9840,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2032_jpg.rf.34cca0a905076ea135b48ba9c4c5c549.jpg
substitution,2,60D628032,60C628032,D>C,,,2,0.7969,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2036_jpg.rf.0a88a4e769fcac692afc8f026abdb662.jpg
substitution,2,59E108058,59F108058,E>F,,,2,0.9748,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2037_jpg.rf.7727d814264611a55ea45ac6aa93e619.jpg
substitution,2,79N160529,70W160529,9>0 N>W,,,1 2,0.9490,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2055_jpg.rf.db765d4caeea7e4f14e02dd44d3295d6.jpg
substitution,2,72L86035,77L86035,2>7,,,1,0.9975,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2059_jpg.rf.c89d3ebf080705f489766996c78a2c63.jpg
substitution,2,56N100018,59N100018,6>9,,,1,0.9715,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2067_jpg.rf.982efed0e87b12c623b5ae8c30d4ce75.jpg
substitution,2,79Z118589,79T118589,Z>T,,,2,0.9928,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2089_jpg.rf.0266d4de29431a62b195492337b0c37a.jpg
substitution,2,71B217757,719717757,B>9 2>7,,,2 3,0.9319,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2101_jpg.rf.7e01ac21ea20d39d581a47d3c28a8a5c.jpg
mixed,2,59H121704,59L21704,1>L,H,,2 3,0.9596,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2111_jpg.rf.f9db525b00e9c2431ec94cd7fd8a592c.jpg
mixed,2,59C100507,50R00507,C>0 1>R,9,,1 2 3,0.8343,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2118_jpg.rf.eb1357c7275c329678ddc2af9377d429.jpg
substitution,2,59G187671,59C187671,G>C,,,2,0.9886,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2122_jpg.rf.88ab7b90e25fefd522ad78d1ced3f027.jpg
mixed,2,59X295479,59E,9>E,9X2547,,1 2 3 5 6 7 8,0.7721,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2136_jpg.rf.a821fa431eeb613712e4309c0c7c58d4.jpg
substitution,2,59V200884,59V21U884,0>1 0>U,,,4 5,0.9559,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2139_jpg.rf.854ebc4eecdba7239c599ef795529c62.jpg
mixed,2,66S109018,66C9018,0>C,S1,,2 3 4,0.9637,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2161_jpg.rf.9db931bf1692c7927ee56acfb6bb620f.jpg
substitution,2,49K107320,49T107320,K>T,,,2,0.9438,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2174_jpg.rf.ea7c7643ee59745cc2ca5fa75b146d15.jpg
mixed,2,69U120415,6910120415,U>0,,1,2,0.9142,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2182_jpg.rf.8f8e17e1d6f24cb558097ef5c48d352f.jpg
substitution,2,60B206370,60A706370,B>A 2>7,,,2 3,0.9231,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2200_jpg.rf.5282b2fa6708d50e3b2e2e134506b251.jpg
mixed,2,59H103519,59M03519,1>M,H,,2 3,0.9214,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2207_jpg.rf.f3d2634748ff93a3e11dc060b0d9bab1.jpg
substitution,2,59E134192,50S134192,9>0 E>S,,,1 2,0.9041,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2210_jpg.rf.b00ce37174aff922db304ccc9093cea3.jpg
mixed,2,59S273546,50T3546,2>0 7>T,9S,,1 2 3 4,0.8623,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2211_jpg.rf.2ab4205cdfbc7ec4d9087d88fff8c28b.jpg
substitution,2,59N147102,59M147102,N>M,,,2,0.9284,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2234_jpg.rf.7d9adb3f41ee2c261a0afa3336df89f9.jpg
substitution,2,54Z87524,54T87524,Z>T,,,2,0.9071,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2240_jpg.rf.8994a2b1a55e5f85a363771e4f45bb00.jpg
substitution,2,59T102309,59T132309,0>3,,,4,0.9440,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2250_jpg.rf.dcc01684227999899a159e9a5f72a5be.jpg
substitution,2,59U165072,59L165072,U>L,,,2,0.9600,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2255_jpg.rf.1b4ac1d719d053cfc98783cd8e7d30ce.jpg
substitution,2,59E119803,59S119803,E>S,,,2,0.9522,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2256_jpg.rf.71c7779f1057da494da44d26dcb37811.jpg
substitution,2,79N179117,79L179117,N>L,,,2,0.8946,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2264_jpg.rf.b705b22d9b3e96b229e294d3ddc0d758.jpg
substitution,2,59K154227,59K164227,5>6,,,4,0.9491,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2269_jpg.rf.8cad797f3ef9b9f386b2bb9e28f5b279.jpg
mixed,2,59S195382,5095382,1>0,9S,,1 2 3,0.9321,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2278_jpg.rf.49a2528244e78066aafeecce2ae0390e.jpg
missing_chars,2,59H140639,40639,,59H1,,0 1 2 3,0.9963,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2288_jpg.rf.b97a57447318a7e85da5442b16d12bc1.jpg
substitution,2,59C104054,59D104054,C>D,,,2,0.9768,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2306_jpg.rf.08faaca6e87e6a44b79018603a2bc6ec.jpg
mixed,2,59N176049,50T6049,1>0 7>T,9N,,1 2 3 4,0.8415,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2315_jpg.rf.797357b87c9f597a66c0038e9c021438.jpg
mixed,2,59U139619,5911139619,U>1,,1,2,0.9505,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2318_jpg.rf.660790ba6a5f715ab200258f0015a33e.jpg
substitution,2,54N56409,51N56409,4>1,,,1,0.8975,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2322_jpg.rf.1c093c7b3e6fb9c96a53ef54d3605115.jpg
mixed,2,61H59381,61S9381,5>S,H,,2 3,0.9267,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2326_jpg.rf.b9319f8e06bdd14cd3b6aa82e8a45be8.jpg
substitution,2,59H152850,59A152850,H>A,,,2,0.9796,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2327_jpg.rf.9b94769f1ff32519c7fc62c43f7a1afe.jpg
missing_chars,2,54S24522,54S2522,,4,,4,0.9011,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2329_jpg.rf.a09da60dfe47d5ca5f29f56c095aaa48.jpg
substitution,2,59F109596,59S109596,F>S,,,2,0.9387,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2337_jpg.rf.f496d9fa82b3dbae42b608c54971a3c0.jpg
missing_chars,2,64U121888,21888,,64U1,,0 1 2 3,0.9989,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2348_jpg.rf.abfc86350ac36f6f97429b5df47d68bf.jpg
substitution,2,59K167891,59C161891,K>C 7>1,,,2 5,0.9997,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2357_jpg.rf.f6d81eff9df2a1a57589271c415d263d.jpg
mixed,2,69U13670,69L113670,U>1,,L,2,0.9646,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2363_jpg.rf.8860effc1f948427b71b99b03ebf2dc5.jpg
substitution,2,57Z73400,51T73400,7>1 Z>T,,,1 2,0.8391,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2371_jpg.rf.6ddb89e5546ea67e72f3f781402b9543.jpg
substitution,2,59H177791,59A167791,H>A 7>6,,,2 4,0.9490,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2385_jpg.rf.4b3be6bbfa29eed2b91db766ed9dfc89.jpg
substitution,2,59X296553,59Y296553,X>Y,,,2,0.8985,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2402_jpg.rf.98fb70d25549daf21e0a71c806810ed8.jpg
mixed,2,59M107790,50D7790,1>0 0>D,9M,,1 2 3 4,0.9973,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2410_jpg.rf.ba3d1b068fb245e796a4c68030ec908c.jpg
substitution,2,59S181834,50ST81834,9>0 1>T,,,1 3,0.8032,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2413_jpg.rf.d9ac6e40f491bd7bd8fb9cd36c8d13f9.jpg
